ts_code,symbol,name
002221.SZ,002221,东华能源
002222.SZ,002222,福晶科技
002223.SZ,002223,鱼跃医疗
002224.SZ,002224,三力士
002225.SZ,002225,濮耐股份
002226.SZ,002226,江南化工
002227.SZ,002227,奥特迅
002228.SZ,002228,合兴包装
002229.SZ,002229,鸿博股份
002230.SZ,002230,科大讯飞
002232.SZ,002232,启明信息
002233.SZ,002233,塔牌集团
002234.SZ,002234,民和股份
002236.SZ,002236,大华股份
002237.SZ,002237,恒邦股份
002238.SZ,002238,天威视讯
002239.SZ,002239,奥特佳
002240.SZ,002240,盛新锂能
002241.SZ,002241,歌尔股份
002242.SZ,002242,九阳股份
002243.SZ,002243,通产丽星
002244.SZ,002244,滨江集团
002245.SZ,002245,澳洋顺昌
002246.SZ,002246,北化股份
002249.SZ,002249,大洋电机
002250.SZ,002250,联化科技
002251.SZ,002251,步步高
002253.SZ,002253,川大智胜
002254.SZ,002254,泰和新材
002258.SZ,002258,利尔化学
002262.SZ,002262,恩华药业
002265.SZ,002265,西仪股份
002266.SZ,002266,浙富控股
002267.SZ,002267,陕天然气
002268.SZ,002268,卫士通
002270.SZ,002270,华明装备
002271.SZ,002271,东方雨虹
002272.SZ,002272,川润股份
002273.SZ,002273,水晶光电
002274.SZ,002274,华昌化工
002275.SZ,002275,桂林三金
002276.SZ,002276,万马股份
002277.SZ,002277,友阿股份
002278.SZ,002278,神开股份
002279.SZ,002279,久其软件
002281.SZ,002281,光迅科技
002282.SZ,002282,博深股份
002283.SZ,002283,天润工业
002284.SZ,002284,亚太股份
002285.SZ,002285,世联行
002286.SZ,002286,保龄宝
002287.SZ,002287,奇正藏药
002288.SZ,002288,超华科技
002293.SZ,002293,罗莱生活
002294.SZ,002294,信立泰
002295.SZ,002295,精艺股份
002296.SZ,002296,辉煌科技
002298.SZ,002298,中电兴发
002299.SZ,002299,圣农发展
002300.SZ,002300,太阳电缆
002301.SZ,002301,齐心集团
002302.SZ,002302,西部建设
002303.SZ,002303,美盈森
002304.SZ,002304,洋河股份
002305.SZ,002305,南国置业
002307.SZ,002307,北新路桥
002308.SZ,002308,威创股份
002309.SZ,002309,中利集团
002310.SZ,002310,东方园林
002311.SZ,002311,海大集团
002313.SZ,002313,日海智能
002314.SZ,002314,南山控股
002315.SZ,002315,焦点科技
002316.SZ,002316,亚联发展
002317.SZ,002317,众生药业
002318.SZ,002318,久立特材
002320.SZ,002320,海峡股份
002321.SZ,002321,华英农业
002322.SZ,002322,理工环科
002324.SZ,002324,普利特
002325.SZ,002325,洪涛股份
002326.SZ,002326,永太科技
002327.SZ,002327,富安娜
002328.SZ,002328,新朋股份
002330.SZ,002330,得利斯
002331.SZ,002331,皖通科技
002332.SZ,002332,仙琚制药
002334.SZ,002334,英威腾
002335.SZ,002335,科华恒盛
002338.SZ,002338,奥普光电
002339.SZ,002339,积成电子
002340.SZ,002340,格林美
002341.SZ,002341,新纶科技
002343.SZ,002343,慈文传媒
002344.SZ,002344,海宁皮城
002345.SZ,002345,潮宏基
002346.SZ,002346,柘中股份
002348.SZ,002348,高乐股份
002349.SZ,002349,精华制药
002350.SZ,002350,北京科锐
002351.SZ,002351,漫步者
002352.SZ,002352,顺丰控股
002353.SZ,002353,杰瑞股份
002355.SZ,002355,兴民智通
002357.SZ,002357,富临运业
002358.SZ,002358,森源电气
002360.SZ,002360,同德化工
002361.SZ,002361,神剑股份
002362.SZ,002362,汉王科技
002363.SZ,002363,隆基机械
002364.SZ,002364,中恒电气
002365.SZ,002365,永安药业
002366.SZ,002366,台海核电
002367.SZ,002367,康力电梯
002368.SZ,002368,太极股份
002369.SZ,002369,卓翼科技
002370.SZ,002370,亚太药业
002371.SZ,002371,北方华创
002372.SZ,002372,伟星新材
002373.SZ,002373,千方科技
002374.SZ,002374,丽鹏股份
002375.SZ,002375,亚厦股份
002376.SZ,002376,新北洋
002377.SZ,002377,国创高新
002378.SZ,002378,章源钨业
002379.SZ,002379,宏创控股
002380.SZ,002380,科远智慧
002381.SZ,002381,双箭股份
002382.SZ,002382,蓝帆医疗
002383.SZ,002383,合众思壮
002384.SZ,002384,东山精密
002385.SZ,002385,大北农
002386.SZ,002386,天原集团
002388.SZ,002388,新亚制程
002389.SZ,002389,航天彩虹
002390.SZ,002390,信邦制药
002391.SZ,002391,长青股份
002392.SZ,002392,北京利尔
002393.SZ,002393,力生制药
002394.SZ,002394,联发股份
002395.SZ,002395,双象股份
002396.SZ,002396,星网锐捷
002397.SZ,002397,梦洁股份
002398.SZ,002398,垒知集团
002399.SZ,002399,海普瑞
002401.SZ,002401,中远海科
002402.SZ,002402,和而泰
002403.SZ,002403,爱仕达
002404.SZ,002404,嘉欣丝绸
002405.SZ,002405,四维图新
002406.SZ,002406,远东传动
002407.SZ,002407,多氟多
002408.SZ,002408,齐翔腾达
002409.SZ,002409,雅克科技
002410.SZ,002410,广联达
002411.SZ,002411,延安必康
002412.SZ,002412,汉森制药
002413.SZ,002413,雷科防务
002414.SZ,002414,高德红外
002415.SZ,002415,海康威视
002416.SZ,002416,爱施德
002419.SZ,002419,天虹股份
002421.SZ,002421,达实智能
002422.SZ,002422,科伦药业
002424.SZ,002424,贵州百灵
002425.SZ,002425,凯撒文化
002428.SZ,002428,云南锗业
002429.SZ,002429,兆驰股份
002430.SZ,002430,杭氧股份
002431.SZ,002431,棕榈股份
002433.SZ,002433,太安堂
002434.SZ,002434,万里扬
002435.SZ,002435,长江健康
002436.SZ,002436,兴森科技
002437.SZ,002437,誉衡药业
002438.SZ,002438,江苏神通
002439.SZ,002439,启明星辰
002440.SZ,002440,闰土股份
002441.SZ,002441,众业达
002442.SZ,002442,龙星化工
002443.SZ,002443,金洲管道
002444.SZ,002444,巨星科技
002446.SZ,002446,盛路通信
002448.SZ,002448,中原内配
002449.SZ,002449,国星光电
002451.SZ,002451,摩恩电气
002453.SZ,002453,华软科技
002454.SZ,002454,松芝股份
002455.SZ,002455,百川股份
002456.SZ,002456,欧菲光
002457.SZ,002457,青龙管业
002458.SZ,002458,益生股份
002459.SZ,002459,晶澳科技
002460.SZ,002460,赣锋锂业
002461.SZ,002461,珠江啤酒
002462.SZ,002462,嘉事堂
002463.SZ,002463,沪电股份
002464.SZ,002464,众应互联
002465.SZ,002465,海格通信
002466.SZ,002466,天齐锂业
002467.SZ,002467,二六三
002468.SZ,002468,申通快递
002469.SZ,002469,三维工程
002471.SZ,002471,中超控股
002472.SZ,002472,双环传动
002474.SZ,002474,榕基软件
002475.SZ,002475,立讯精密
002476.SZ,002476,宝莫股份
002478.SZ,002478,常宝股份
002479.SZ,002479,富春环保
002480.SZ,002480,新筑股份
002481.SZ,002481,双塔食品
002482.SZ,002482,广田集团
002483.SZ,002483,润邦股份
002484.SZ,002484,江海股份
002485.SZ,002485,希努尔
002486.SZ,002486,嘉麟杰
002487.SZ,002487,大金重工
002488.SZ,002488,金固股份
002490.SZ,002490,山东墨龙
002491.SZ,002491,通鼎互联
002492.SZ,002492,恒基达鑫
002493.SZ,002493,荣盛石化
002495.SZ,002495,佳隆股份
002497.SZ,002497,雅化集团
002498.SZ,002498,汉缆股份
002500.SZ,002500,山西证券
002503.SZ,002503,搜于特
002505.SZ,002505,大康农业
002507.SZ,002507,涪陵榨菜
002508.SZ,002508,老板电器
002510.SZ,002510,天汽模
002511.SZ,002511,中顺洁柔
002514.SZ,002514,宝馨科技
002516.SZ,002516,旷达科技
002517.SZ,002517,恺英网络
002518.SZ,002518,科士达
002519.SZ,002519,银河电子
002520.SZ,002520,日发精机
002521.SZ,002521,齐峰新材
002523.SZ,002523,天桥起重
002524.SZ,002524,光正眼科
002526.SZ,002526,山东矿机
002527.SZ,002527,新时达
002528.SZ,002528,英飞拓
002530.SZ,002530,金财互联
002531.SZ,002531,天顺风能
002532.SZ,002532,天山铝业
002533.SZ,002533,金杯电工
002534.SZ,002534,杭锅股份
002536.SZ,002536,飞龙股份
002537.SZ,002537,海联金汇
002538.SZ,002538,司尔特
002539.SZ,002539,云图控股
002540.SZ,002540,亚太科技
002541.SZ,002541,鸿路钢构
002542.SZ,002542,中化岩土
002543.SZ,002543,万和电气
002544.SZ,002544,杰赛科技
002545.SZ,002545,东方铁塔
002546.SZ,002546,新联电子
002549.SZ,002549,凯美特气
002550.SZ,002550,千红制药
002551.SZ,002551,尚荣医疗
002553.SZ,002553,南方轴承
002554.SZ,002554,惠博普
002555.SZ,002555,三七互娱
002556.SZ,002556,辉隆股份
002557.SZ,002557,洽洽食品
002558.SZ,002558,巨人网络
002559.SZ,002559,亚威股份
002560.SZ,002560,通达股份
002561.SZ,002561,徐家汇
002562.SZ,002562,兄弟科技
002563.SZ,002563,森马服饰
002564.SZ,002564,天沃科技
002565.SZ,002565,顺灏股份
002566.SZ,002566,益盛药业
002567.SZ,002567,唐人神
002568.SZ,002568,百润股份
002572.SZ,002572,索菲亚
002573.SZ,002573,清新环境
002574.SZ,002574,明牌珠宝
002576.SZ,002576,通达动力
002577.SZ,002577,雷柏科技
002578.SZ,002578,闽发铝业
002579.SZ,002579,中京电子
002580.SZ,002580,圣阳股份
002581.SZ,002581,未名医药
002582.SZ,002582,好想你
002583.SZ,002583,海能达
002584.SZ,002584,西陇科学
002585.SZ,002585,双星新材
002587.SZ,002587,奥拓电子
002588.SZ,002588,史丹利
002589.SZ,002589,瑞康医药
002590.SZ,002590,万安科技
002591.SZ,002591,恒大高新
002593.SZ,002593,日上集团
002594.SZ,002594,比亚迪
002595.SZ,002595,豪迈科技
002596.SZ,002596,海南瑞泽
002597.SZ,002597,金禾实业
002598.SZ,002598,山东章鼓
002599.SZ,002599,盛通股份
002600.SZ,002600,领益智造
002601.SZ,002601,龙蟒佰利
002602.SZ,002602,世纪华通
002603.SZ,002603,以岭药业
002605.SZ,002605,姚记科技
002607.SZ,002607,中公教育
002608.SZ,002608,江苏国信
002609.SZ,002609,捷顺科技
002610.SZ,002610,爱康科技
002611.SZ,002611,东方精工
002612.SZ,002612,朗姿股份
002613.SZ,002613,北玻股份
002614.SZ,002614,奥佳华
002615.SZ,002615,哈尔斯
002616.SZ,002616,长青集团
002617.SZ,002617,露笑科技
002618.SZ,002618,丹邦科技
002619.SZ,002619,艾格拉斯
002620.SZ,002620,瑞和股份
002621.SZ,002621,美吉姆
002622.SZ,002622,融钰集团
002623.SZ,002623,亚玛顿
002624.SZ,002624,完美世界
002625.SZ,002625,光启技术
002626.SZ,002626,金达威
002627.SZ,002627,宜昌交运
002628.SZ,002628,成都路桥
002630.SZ,002630,华西能源
002631.SZ,002631,德尔未来
002632.SZ,002632,道明光学
